Name,Memory Size,CPUs
Sec_48-PROD-07 - Laravel - Debian 10.4 x64,4 GB,2
Sec_49-PROD-01 - WSUS - Windows 2012 STD x64,4 GB,2
Sec_50-PROD-01- Hospedagem - Ubuntu 10.04 LTS,4 GB,2
Sec_51-HML-01 - PENTAHO - CentOS 5.4 32 Bits,2 GB,2
Sec_51-PROD-01 - Applinx Producao2 - CentOS,2 GB,2
Sec_51-PROD-02 - Pentaho - CentOS 5.4 32 Bits,4 GB,2
Sec_51-PROD-03 - CentOS 5.3 64 Bits,1 GB,2
Sec_51-PROD-04 - Applinx Producao - CentOS 5.4 32 Bits,2 GB,2
Sec_51-PROD-05 - Oracle Linux 6.3 32 Bits - BI -Sec_22,8 GB,2
Sec_51-PROD-07 - CentOS 6.2 x64,2 GB,4
Sec_51-PROD-08 - CentOS 6.2 x64,2 GB,4
Sec_51-PROD-09 - WebService - Windows 2003 R2 x32 STD,4 GB,2
Sec_51-PROD-10 - CentOS 5.4 32 Bits - Pentaho II - Siafem,2 GB,2
Sec_51-PROD-11 -Ubuntu 12.04 Server 64 bits - Servidor de Aplicacao,4 GB,1
Sec_51-PROD-13 - Gestao Projetos - Debian 8.4 x64,4 GB,1
Sec_52-PROD-01 - Coruja - NFS - Ubuntu 22.04 LTS,8 GB,4
Sec_52-PROD-02 - Coruja - API DEV - Ubuntu 22.04 LTS,4 GB,2
Sec_52-PROD-03 - Coruja - API PRD - Ubuntu 22.04 LTS,8 GB,4
Sec_52-PROD-04 - Coruja - PostgreSQL DEV - Ubuntu 22.04 LTS,8 GB,2
Sec_52-PROD-05 - Coruja - PostgreSQL PRD - Ubuntu 22.04 LTS,8 GB,4
Sec_52-PROD-06 - Coruja - Aplicacao DEV - Ubuntu 22.04 LTS,8 GB,2
Sec_52-PROD-07 - Coruja - Aplicacao PRD - Ubuntu 22.04 LTS,8 GB,4
Sec_52-PROD-08 - Coruja - Aplicacao DEV - Ubuntu 22.04 LTS,8 GB,2
Sec_52-PROD-09 - SCN3,4 GB,2
Sec_52-PROD-13 - SCN4,4 GB,2
Sec_53-PROD-01 - Debian 6 64bits,2 GB,2
Sec_53-PROD-02 - Webserver - CentOS 6.2 64 Bits,3 GB,4
Sec_53-PROD-03- webserver - Debian 7 64bits,2 GB,2
Sec_54-HML-01 - SUAP Teste - Debian 11,8 GB,2
Sec_54-HML-02 - SUAP - DB - Testes e Treinamento - Debian11 x64,4 GB,2
Sec_54-HML-03 - SUAP - APP - Testes e Treinamento - Debian11 x64,4 GB,2
Sec_54-HML-04 - moodle - debian11 x64,32 GB,12
Sec_54-PROD-01 - Spine - Debian 10 x64,16 GB,4
Sec_54-PROD-02 - Tooth - Debian 10 x64,8 GB,2
Sec_54-PROD-03 - Blood - Debian 10 x64,8 GB,2
Sec_54-PROD-04 - Shank - Debian 10 x64,12 GB,4
Sec_54-PROD-05 - Knee - Debian 10 x64,12 GB,4
Sec_54-PROD-06 - moodle,32 GB,12
Sec_54-PROD-07-WordPress-DEBIAN 11X64,8 GB,4
Sec_54-PROD-08 - DNS - Debian 11,4 GB,1
Sec_54-PROD-09 - SUAP Prod - Debian 11,16 GB,4
Sec_54-PROD-10 - SUAP - DB - Debian11 x64,6 GB,4
Sec_54-PROD-11 - SUAP - APP - Debian11 x64,8 GB,6
Sec_55-PROD-03 - Ponto Eletronico - Ubuntu 22.04 LTS,8 GB,4
Sec_55-PROD-04 - Sistema Academico - Ubuntu 22.04 LTS,30 GB,16
Sec_55-PROD-05- SISTEMA DE VOTAÇÃO,8 GB,4
Sec_55-PROD-06 - SAGU - Debian 11,20 GB,12
Sec_55-PROD-07 - Helpdesk - Debian 11,4 GB,4
Sec_55-PROD-08 - Moodle - Debian 11,4 GB,2
Sec_55-PROD-09 - GED e Central de Serviços - Ubuntu 22.04,8 GB,8
Sec_56-PROD-14 - Zabbix BD Master - CentOS 8 x64,32 GB,8
Sec_56-PROD-15 - Zabbix BD Slave - CentOS 8 x64,16 GB,8
Sec_56-PROD-17 - Proxy de Rede Wan,8 GB,2
Sec_56-PROD-18 - Proxy de Nucleo de Rede,8 GB,2
Sec_56-PROD-19 - FrontEnd,8 GB,2
Sec_56-PROD-20 - Proxy DataCenter,8 GB,2
Sec_56-PROD-21 - Zabbix 5 Server,8 GB,2
Sec_56-PROD-23 - Zabbix BD - Master Novo - Oracle Linux 8,16 GB,2
Sec_56-PROD-24 - FrontEnd - Zabbix 7 - Debian 12,8 GB,4
Sec_56-PROD-25 - Server - Zabbix 7 - Debian 12,8 GB,4
Sec_56-PROD-26 - Proxy Circuitos - Zabbix 7 - Debian 12,8 GB,4
Sec_56-PROD-27- Proxy Ativos de Rede - Zabbix 7 - Debian 12,8 GB,4
Sec_56-PROD-28- Proxy Datacenter - Zabbix 7 - Debian 12,3 GB,4
Sec_56-PROD-29 - Grafana - Debian 11,4 GB,2
Sec_56-PROD-30 - Zabbix Proxy - Debian 12 x64,2 GB,2
Sec_57-PROD-01 - LDAP - CentOS 7x64,8 GB,4
Sec_57-PROD-02 - Mailstore - CentOS 7x64,8 GB,4
Sec_57-PROD-03 - MTA 01 - CentOS 7x64,8 GB,4
Sec_57-PROD-04 - Proxy - CentOS 7x64,8 GB,4
Sec_57-PROD-05 - MTA 02 - CentOS 7x64,8 GB,4
Sec_57-PROD-06 - Backup - Debian 10.3 amd64,8 GB,4
Sec_57-PROD-07 - Mailstore 2 - CentOS 7x64,8 GB,4
Sec_57-PROD-08 - MailRelay - Debian 11,4 GB,2
